date,hour,Average Wait Time,Max WaitTime
10/16/2019,1100 - 1200,10,24
10/16/2019,1200 - 1300,21,60
10/16/2019,1300 - 1400,14,26
10/16/2019,1400 - 1500,13,32
10/16/2019,1500 - 1600,12,27
10/16/2019,1600 - 1700,21,62
10/16/2019,1700 - 1800,21,41
10/16/2019,1800 - 1900,11,26
10/16/2019,1900 - 2000,14,50
10/16/2019,2000 - 2100,19,44
10/16/2019,2100 - 2200,14,27
10/17/2019,0000 - 0100,11,22
10/17/2019,0200 - 0300,8,33
10/17/2019,0800 - 0900,16,28
10/17/2019,0900 - 1000,9,25
10/17/2019,1000 - 1100,12,49
10/17/2019,1200 - 1300,11,57
10/17/2019,1300 - 1400,16,57
10/17/2019,1400 - 1500,13,68
10/17/2019,1500 - 1600,12,35
10/17/2019,1600 - 1700,9,31
10/17/2019,1700 - 1800,12,44
10/17/2019,1800 - 1900,19,91
10/17/2019,1900 - 2000,12,60
10/17/2019,2200 - 2300,5,28
10/17/2019,0500 - 0600,19,61
10/17/2019,0600 - 0700,24,42
10/17/2019,0700 - 0800,9,35
10/17/2019,0800 - 0900,10,36
10/17/2019,0900 - 1000,9,50
10/17/2019,1000 - 1100,4,25
10/17/2019,1200 - 1300,16,52
10/17/2019,1300 - 1400,8,31
10/17/2019,1400 - 1500,18,47
10/17/2019,1500 - 1600,15,34
10/17/2019,1600 - 1700,11,40
10/17/2019,1700 - 1800,12,35
10/17/2019,1800 - 1900,11,26
10/17/2019,1900 - 2000,13,42
10/17/2019,2000 - 2100,14,32
10/18/2019,0000 - 0100,6,22
10/18/2019,0800 - 0900,31,53
10/18/2019,0900 - 1000,6,14
10/18/2019,1000 - 1100,10,45
10/18/2019,1200 - 1300,10,39
10/18/2019,1300 - 1400,10,32
10/18/2019,1400 - 1500,12,56
10/18/2019,1500 - 1600,9,42
10/18/2019,1600 - 1700,9,15
10/18/2019,1700 - 1800,16,44
10/18/2019,1800 - 1900,20,65
10/18/2019,1900 - 2000,17,62
10/18/2019,2100 - 2200,14,38
10/18/2019,2300 - 0000,10,20
10/18/2019,0500 - 0600,30,71
10/18/2019,0600 - 0700,22,66
10/18/2019,0700 - 0800,11,37
10/18/2019,0800 - 0900,16,68
10/18/2019,0900 - 1000,18,55
10/18/2019,1000 - 1100,4,17
10/18/2019,1100 - 1200,3,14
10/18/2019,1200 - 1300,13,46
10/18/2019,1300 - 1400,17,65
10/18/2019,1400 - 1500,14,48
10/18/2019,1500 - 1600,10,25
10/18/2019,1600 - 1700,27,69
10/18/2019,1900 - 2000,13,28
10/18/2019,2000 - 2100,20,67
10/19/2019,0000 - 0100,9,33
10/19/2019,0900 - 1000,8,39
10/19/2019,1000 - 1100,9,19
10/19/2019,1100 - 1200,15,104
10/19/2019,1200 - 1300,12,32
10/19/2019,1300 - 1400,11,45
10/19/2019,1400 - 1500,10,39
10/19/2019,1500 - 1600,13,55
10/19/2019,1600 - 1700,11,28
10/19/2019,1700 - 1800,12,41
10/19/2019,1800 - 1900,16,50
10/19/2019,1900 - 2000,12,52
