date,hour,Average Wait Time,Max WaitTime,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
10/8/2019,1000 - 1100,13,32,107,50,3,0,0,0,0,3,163,1,15
10/8/2019,1100 - 1200,35,94,232,188,158,88,148,9,0,26,849,4,19
10/8/2019,1200 - 1300,36,87,86,59,48,20,75,0,0,9,297,2,17
10/8/2019,1300 - 1400,24,86,458,250,164,97,47,0,0,31,1047,4,22
10/8/2019,1400 - 1500,36,79,324,160,73,115,287,0,0,24,983,4,24
10/8/2019,1600 - 1700,15,43,446,236,46,0,0,0,0,25,753,4,21
10/8/2019,1700 - 1800,27,62,156,344,247,57,5,0,0,26,835,3,14
10/8/2019,1800 - 1900,16,47,306,210,46,7,0,0,0,17,586,2,11
10/8/2019,1900 - 2000,20,55,147,202,32,22,0,0,0,10,413,2,13
10/8/2019,2000 - 2100,16,47,243,74,65,5,0,0,0,16,403,2,14
10/8/2019,2100 - 2200,8,22,99,11,0,0,0,0,0,4,114,1,8
10/8/2019,2200 - 2300,8,26,72,19,0,0,0,0,0,5,96,1,7
10/8/2019,0500 - 0600,16,64,200,99,18,16,6,0,0,15,354,1,10
10/8/2019,0600 - 0700,21,82,207,156,40,19,30,0,0,12,464,2,9
10/8/2019,0700 - 0800,13,31,107,47,3,0,0,0,0,5,162,1,10
10/8/2019,0800 - 0900,10,30,381,86,0,0,0,0,0,13,480,3,15
10/8/2019,0900 - 1000,12,35,327,120,14,0,0,0,0,12,473,3,14
10/8/2019,1000 - 1100,12,34,247,121,11,0,0,0,0,11,390,2,14
10/8/2019,1100 - 1200,18,62,435,223,77,76,4,0,0,24,839,4,18
10/8/2019,1200 - 1300,19,50,233,236,82,22,0,0,0,18,591,2,19
10/8/2019,1300 - 1400,8,21,243,39,0,0,0,0,0,8,290,1,21
10/8/2019,1400 - 1500,13,38,274,118,41,0,0,0,0,11,444,2,19
10/8/2019,1500 - 1600,12,46,605,204,42,5,0,0,0,18,874,4,19
10/8/2019,1600 - 1700,21,67,597,529,190,130,11,0,0,40,1497,6,18
10/8/2019,1900 - 2000,30,121,335,150,98,90,86,23,4,22,808,4,10
10/8/2019,2000 - 2100,38,108,114,41,74,71,13,44,0,11,368,3,10
10/8/2019,2100 - 2200,28,81,98,23,71,23,21,0,0,9,245,2,10
10/9/2019,0000 - 0100,13,38,158,56,23,0,0,0,0,13,250,2,6
10/9/2019,0900 - 1000,11,29,191,57,0,0,0,0,0,10,258,2,13
10/9/2019,1000 - 1100,23,53,122,110,64,38,0,0,0,10,344,2,14
10/9/2019,1100 - 1200,28,84,82,66,32,33,18,0,0,8,239,1,16
10/9/2019,1200 - 1300,35,92,273,107,62,34,181,5,0,17,679,3,18
10/9/2019,1300 - 1400,23,59,341,145,146,100,0,0,0,21,753,3,20
10/9/2019,1400 - 1500,34,86,347,171,97,137,229,0,0,27,1008,4,24
10/9/2019,1500 - 1600,23,39,34,33,38,0,0,0,0,3,108,1,17
10/9/2019,1600 - 1700,15,58,416,146,61,25,0,0,0,18,666,4,16
10/9/2019,1700 - 1800,28,61,153,45,69,103,3,0,0,10,383,2,11
10/9/2019,1800 - 1900,19,57,279,244,60,29,0,0,0,23,635,2,10
10/9/2019,1900 - 2000,31,118,177,278,120,92,56,19,0,28,770,4,10
10/9/2019,2000 - 2100,30,93,110,94,24,15,44,7,0,8,302,1,9
10/9/2019,2100 - 2200,13,40,76,18,15,0,0,0,0,2,111,1,5
10/9/2019,2300 - 0000,6,21,73,8,0,0,0,0,0,5,86,1,6
10/9/2019,0600 - 0700,14,69,523,209,30,31,11,0,0,23,827,4,14
10/9/2019,0700 - 0800,14,52,226,89,10,9,0,0,0,11,345,2,12
10/9/2019,0800 - 0900,8,19,320,30,0,0,0,0,0,12,362,3,13
10/9/2019,0900 - 1000,12,41,436,168,5,0,0,0,0,20,629,3,14
10/9/2019,1000 - 1100,19,87,369,149,39,24,42,0,0,18,641,3,14
10/9/2019,1100 - 1200,29,81,210,140,128,106,59,0,0,18,661,3,17
10/9/2019,1200 - 1300,28,70,157,189,135,68,32,0,0,16,597,2,18
10/9/2019,1300 - 1400,9,24,412,60,0,0,0,0,0,14,486,2,19
10/9/2019,1400 - 1500,15,47,217,120,22,2,0,0,0,11,372,2,18
10/9/2019,1500 - 1600,19,81,488,268,73,57,28,0,0,30,944,5,20
10/9/2019,1600 - 1700,18,63,354,159,92,36,5,0,0,21,667,4,15
10/9/2019,1700 - 1800,24,67,157,114,72,31,27,0,0,14,415,2,15
10/9/2019,1800 - 1900,14,39,285,142,22,0,0,0,0,15,464,2,13
10/9/2019,1900 - 2000,10,32,165,69,4,0,0,0,0,7,245,1,10
10/9/2019,2000 - 2100,25,94,474,271,70,57,119,12,0,38,1041,5,15
10/9/2019,2100 - 2200,24,71,31,48,3,1,14,0,0,2,99,1,9
10/10/2019,0000 - 0100,11,43,180,41,19,0,0,0,0,14,254,2,4
10/10/2019,0900 - 1000,16,39,159,102,39,0,0,0,0,11,311,2,18
10/10/2019,1000 - 1100,20,50,140,118,57,12,0,0,0,7,334,3,17
10/10/2019,1100 - 1200,20,61,102,52,39,14,3,0,0,5,215,1,16
10/10/2019,1200 - 1300,39,97,315,141,93,77,225,39,0,28,918,4,21
10/10/2019,1300 - 1400,32,85,170,68,52,61,80,0,0,15,446,2,18
10/10/2019,1400 - 1500,43,109,435,215,135,108,269,190,0,38,1390,5,23
10/10/2019,1600 - 1700,18,51,265,78,61,34,0,0,0,13,451,3,19
10/10/2019,1700 - 1800,25,68,219,95,69,74,13,0,0,14,484,2,17
10/10/2019,1800 - 1900,34,84,281,192,116,165,167,0,0,32,953,3,18
10/10/2019,1900 - 2000,28,74,100,262,102,47,37,0,0,15,563,2,17
10/10/2019,2000 - 2100,18,65,252,236,55,12,10,0,0,19,584,3,15
10/10/2019,2100 - 2200,16,50,81,31,24,6,0,0,0,9,151,1,7
10/10/2019,2200 - 2300,7,25,91,13,0,0,0,0,0,7,111,1,6
10/10/2019,0500 - 0600,40,99,0,62,156,34,14,8,0,9,283,1,9
10/10/2019,0600 - 0700,36,128,250,114,144,39,34,83,15,22,701,3,16
10/10/2019,0700 - 0800,39,114,109,142,47,8,20,77,0,14,417,2,20
10/10/2019,0800 - 0900,20,96,359,196,6,12,57,14,0,19,663,4,18
10/10/2019,0900 - 1000,19,62,177,157,63,10,6,0,0,14,427,2,19
10/10/2019,1000 - 1100,26,139,572,281,64,33,47,66,23,33,1119,4,19
10/10/2019,1100 - 1200,31,148,132,138,68,1,1,2,35,12,389,2,13
10/10/2019,1200 - 1300,39,125,250,246,165,35,120,107,4,28,955,3,27
10/10/2019,1300 - 1400,20,68,164,83,1,53,13,0,0,10,324,1,25
10/10/2019,1400 - 1500,30,86,189,194,211,91,52,0,0,21,758,3,17
10/10/2019,1500 - 1600,20,52,197,142,85,16,0,0,0,13,453,2,18
10/10/2019,1600 - 1700,30,94,365,385,297,143,117,6,0,40,1353,5,19
10/10/2019,1700 - 1800,11,55,398,73,29,3,0,0,0,16,519,3,16
10/10/2019,1800 - 1900,21,39,56,173,27,0,0,0,0,6,262,1,13
10/10/2019,1900 - 2000,9,21,249,31,0,0,0,0,0,15,295,1,13
10/10/2019,2000 - 2100,19,65,531,282,212,38,11,0,0,38,1112,6,16
10/10/2019,2100 - 2200,15,36,99,32,15,0,0,0,0,4,150,1,14
10/11/2019,0000 - 0100,17,32,55,83,4,0,0,0,0,4,146,1,5
10/11/2019,0100 - 0200,10,25,78,25,0,0,0,0,0,7,110,1,5
10/11/2019,0900 - 1000,17,36,110,130,29,0,0,0,0,11,280,2,19
10/11/2019,1000 - 1100,24,60,245,141,127,77,0,0,0,18,608,3,18
