date,hour,Average Wait Time,Max WaitTime
10/15/2019,1800 - 1900,23,49
10/15/2019,1900 - 2000,16,38
10/15/2019,2000 - 2100,10,15
10/15/2019,2100 - 2200,19,52
10/15/2019,0500 - 0600,22,82
10/15/2019,0600 - 0700,27,64
10/15/2019,0700 - 0800,17,42
10/15/2019,0800 - 0900,14,39
10/15/2019,0900 - 1000,31,88
10/15/2019,1100 - 1200,21,32
10/15/2019,1200 - 1300,28,94
10/15/2019,1300 - 1400,36,87
10/15/2019,1400 - 1500,26,80
10/15/2019,1500 - 1600,36,93
10/15/2019,1600 - 1700,37,80
10/15/2019,1900 - 2000,44,144
10/15/2019,2000 - 2100,54,110
10/16/2019,0000 - 0100,11,27
10/16/2019,0100 - 0200,12,24
10/16/2019,0900 - 1000,19,45
10/16/2019,1000 - 1100,15,34
10/16/2019,1100 - 1200,32,82
10/16/2019,1200 - 1300,34,74
10/16/2019,1300 - 1400,13,31
10/16/2019,1400 - 1500,30,76
10/16/2019,1500 - 1600,48,81
10/16/2019,1600 - 1700,15,32
10/16/2019,1700 - 1800,27,60
10/16/2019,1800 - 1900,35,52
10/16/2019,1900 - 2000,25,63
10/16/2019,2000 - 2100,22,37
10/16/2019,2100 - 2200,47,104
10/16/2019,0500 - 0600,32,106
10/16/2019,0600 - 0700,49,130
10/16/2019,0700 - 0800,51,127
10/16/2019,0800 - 0900,41,99
10/16/2019,0900 - 1000,24,64
10/16/2019,1000 - 1100,31,56
10/16/2019,1100 - 1200,12,24
10/16/2019,1200 - 1300,32,84
10/16/2019,1300 - 1400,24,48
10/16/2019,1400 - 1500,15,48
10/16/2019,1500 - 1600,22,49
10/16/2019,1600 - 1700,26,62
10/16/2019,1700 - 1800,25,45
10/16/2019,1800 - 1900,14,30
10/16/2019,1900 - 2000,15,59
10/16/2019,2000 - 2100,20,52
10/16/2019,2100 - 2200,14,30
10/17/2019,0000 - 0100,19,31
10/17/2019,0200 - 0300,16,33
10/17/2019,0800 - 0900,27,41
10/17/2019,0900 - 1000,20,35
10/17/2019,1000 - 1100,40,86
10/17/2019,1200 - 1300,39,84
10/17/2019,1300 - 1400,24,55
10/17/2019,1400 - 1500,44,94
10/17/2019,1500 - 1600,31,57
10/17/2019,1600 - 1700,16,38
10/17/2019,1700 - 1800,20,46
10/17/2019,1800 - 1900,52,103
10/17/2019,1900 - 2000,46,74
10/17/2019,2200 - 2300,19,38
10/17/2019,0500 - 0600,29,73
10/17/2019,0600 - 0700,25,64
10/17/2019,0700 - 0800,15,43
10/17/2019,0800 - 0900,16,38
10/17/2019,0900 - 1000,20,83
10/17/2019,1000 - 1100,13,25
10/17/2019,1200 - 1300,25,81
10/17/2019,1300 - 1400,21,58
10/17/2019,1400 - 1500,32,85
10/17/2019,1500 - 1600,19,42
10/17/2019,1600 - 1700,24,54
10/17/2019,1700 - 1800,16,36
10/17/2019,1800 - 1900,16,34
10/17/2019,1900 - 2000,15,49
10/17/2019,2000 - 2100,19,46
10/18/2019,0000 - 0100,16,34
