date,hour,Average Wait Time,Max Wait Time,time
10/11/2019,2000 - 2100,11,47,212
10/11/2019,2100 - 2200,15,38,213
10/12/2019,0100 - 0200,6,21,217
10/12/2019,0900 - 1000,8,41,225
10/12/2019,1000 - 1100,13,33,226
10/12/2019,1100 - 1200,10,29,227
10/12/2019,1200 - 1300,14,64,228
10/12/2019,1400 - 1500,20,81,230
10/12/2019,1500 - 1600,9,53,231
10/12/2019,1600 - 1700,7,17,232
10/12/2019,1700 - 1800,11,33,233
10/12/2019,1800 - 1900,15,36,234
10/12/2019,1900 - 2000,8,21,235
10/12/2019,2000 - 2100,23,58,236
10/12/2019,2100 - 2200,9,25,237
10/12/2019,2200 - 2300,6,32,238
10/12/2019,0500 - 0600,14,39,221
10/12/2019,0600 - 0700,15,37,222
10/12/2019,0700 - 0800,16,76,223
10/12/2019,0800 - 0900,23,48,224
10/12/2019,0900 - 1000,20,44,225
10/12/2019,1000 - 1100,18,48,226
10/12/2019,1100 - 1200,13,42,227
10/12/2019,1200 - 1300,16,49,228
10/12/2019,1300 - 1400,11,24,229
10/12/2019,1400 - 1500,10,32,230
10/12/2019,1500 - 1600,9,30,231
10/12/2019,1600 - 1700,18,50,232
10/12/2019,1700 - 1800,11,31,233
10/12/2019,1900 - 2000,10,25,235
10/12/2019,2000 - 2100,11,24,236
10/12/2019,2100 - 2200,9,19,237
10/13/2019,0000 - 0100,16,39,240
10/13/2019,0900 - 1000,14,39,249
10/13/2019,1000 - 1100,13,36,250
10/13/2019,1100 - 1200,14,56,251
10/13/2019,1200 - 1300,12,46,252
10/13/2019,1300 - 1400,12,31,253
10/13/2019,1400 - 1500,23,88,254
10/13/2019,1500 - 1600,10,30,255
10/13/2019,1600 - 1700,9,25,256
10/13/2019,1700 - 1800,11,27,257
10/13/2019,1800 - 1900,14,33,258
10/13/2019,1900 - 2000,14,46,259
10/13/2019,2000 - 2100,12,30,260
10/13/2019,2100 - 2200,8,41,261
10/13/2019,0500 - 0600,36,77,245
10/13/2019,0600 - 0700,24,60,246
10/13/2019,0700 - 0800,15,36,247
10/13/2019,0800 - 0900,10,28,248
10/13/2019,0900 - 1000,11,37,249
10/13/2019,1100 - 1200,12,33,251
10/13/2019,1200 - 1300,25,51,252
10/13/2019,1300 - 1400,17,41,253
10/13/2019,1400 - 1500,7,18,254
10/13/2019,1500 - 1600,24,74,255
10/13/2019,1600 - 1700,35,95,256
10/13/2019,1700 - 1800,18,44,257
10/13/2019,1900 - 2000,10,26,259
10/13/2019,2000 - 2100,13,33,260
10/14/2019,0000 - 0100,9,21,264
10/14/2019,0100 - 0200,6,15,265
10/14/2019,0900 - 1000,7,27,273
10/14/2019,1000 - 1100,11,26,274
10/14/2019,1100 - 1200,11,42,275
10/14/2019,1200 - 1300,9,30,276
10/14/2019,1300 - 1400,9,20,277
10/14/2019,1400 - 1500,19,76,278
10/14/2019,1500 - 1600,11,37,279
10/14/2019,1600 - 1700,14,33,280
10/14/2019,1700 - 1800,21,61,281
10/14/2019,1800 - 1900,15,57,282
10/14/2019,1900 - 2000,14,49,283
10/14/2019,2100 - 2200,8,32,285
10/14/2019,0500 - 0600,25,71,269
10/14/2019,0600 - 0700,32,70,270
10/14/2019,0700 - 0800,6,18,271
10/14/2019,0800 - 0900,9,31,272
10/14/2019,0900 - 1000,11,36,273
10/14/2019,1000 - 1100,8,21,274
10/14/2019,1100 - 1200,8,20,275
10/14/2019,1200 - 1300,15,59,276
10/14/2019,1300 - 1400,13,37,277
